what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1421284118186
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1421284118217
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1421284121727
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1421284127562
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1421284146081
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1421284154395
executed,command,com.altera.sbtgui.project,10.1.0.153,"com.altera.sbtgui.popupmenu.removefrombuild",1421284156330
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1421284157157
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1421284160807
opened,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1421284173398
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1421284173445
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1421284182321
closed,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1421284182321
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1421284195441
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1421284201807
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1421284202728
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1421284206425
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1421284207782
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1421284215777
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1421284216729
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1421284232144
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1421284233033
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1421284236683
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.buildAll",1421284245606
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1421284245887
