what,kind,bundleId,bundleVersion,description,time
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1421287750645
error,log,,,"CPU architecture type not set. ",1421287750645
error,log,,,"CPU master group not set.",1421287750645
error,log,,,"Target must be configured before use",1421287750691
error,log,,,"SOPC design not set.",1421287750738
error,log,,,"CPU module not set.",1421287750738
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1421287750738
error,log,,,"CPU architecture type not set. ",1421287750738
error,log,,,"CPU master group not set.",1421287750738
error,log,,,"Connected system ID hash not found on target at expected base address.",1421287750738
error,log,,,"Connected system timestamp not found on target at expected base address.",1421287750738
error,log,,,"Connected system ID hash not found on target at expected base address.",1421287750816
error,log,,,"Connected system timestamp not found on target at expected base address.",1421287750816
error,log,,,"Connected system ID hash not found on target at expected base address.",1421287750925
error,log,,,"Connected system timestamp not found on target at expected base address.",1421287750925
error,log,,,"Connected system ID hash not found on target at expected base address.",1421287751035
error,log,,,"Connected system timestamp not found on target at expected base address.",1421287751035
error,log,,,"Connected system ID hash not found on target at expected base address.",1421287751144
error,log,,,"Connected system timestamp not found on target at expected base address.",1421287751144
error,log,,,"Connected system ID hash not found on target at expected base address.",1421287751253
error,log,,,"Connected system timestamp not found on target at expected base address.",1421287751253
error,log,,,"Connected system ID hash not found on target at expected base address.",1421287751362
error,log,,,"Connected system timestamp not found on target at expected base address.",1421287751362
error,log,,,"Connected system ID hash not found on target at expected base address.",1421287751471
error,log,,,"Connected system timestamp not found on target at expected base address.",1421287751471
