what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1423527026978
started,bundle,com.altera.sbtgui.core,10.1.0.153,"com.altera.sbtgui.core",1423527050638
started,bundle,org.eclipse.cdt.managedbuilder.core,6.0.0.200909110608,"org.eclipse.cdt.managedbuilder.core",1423527050708
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1423527050918
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,5.0.100.200909110608,"org.eclipse.cdt.managedbuilder.gnu.ui",1423527050938
started,bundle,org.eclipse.cdt.make.core,6.0.0.200909110608,"org.eclipse.cdt.make.core",1423527050948
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1423527051788
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.import",1423527051798
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.import",1423527051798
opened,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1423527053888
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1423527053928
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1423527055478
started,bundle,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search",1423527055688
started,bundle,org.eclipse.compare.core,3.5.0.I20090430-0408,"org.eclipse.compare.core",1423527056238
opened,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1423527056268
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1423527056398
started,bundle,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui",1423527060845
started,bundle,org.eclipse.cdt.debug.core,6.0.0.200909110608,"org.eclipse.cdt.debug.core",1423527062045
started,bundle,org.eclipse.cdt.debug.ui,6.0.0.200909110608,"org.eclipse.cdt.debug.ui",1423527062075
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1423527062645
started,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1423527062885
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1423527065235
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1423527067035
error,log,,,"SOPC design not set.",1423527067445
error,log,,,"CPU module not set.",1423527067445
