what,kind,bundleId,bundleVersion,description,time
error,log,,,"No Nios II target connection paths were located. Check connections and that a Nios II .sof is downloaded.",1421691865465
error,log,,,"No Nios II byte stream devices connection paths were located. Check connections and that a Nios II .sof is downloaded.",1421691865465
error,log,,,"SOPC design not set.",1421691865465
error,log,,,"CPU module not set.",1421691865465
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1421691865465
error,log,,,"CPU architecture type not set. ",1421691865465
error,log,,,"CPU master group not set.",1421691865465
error,log,,,"No Nios II target connection paths were located. Check connections and that a Nios II .sof is downloaded.",1421691865465
error,log,,,"No Nios II byte stream devices connection paths were located. Check connections and that a Nios II .sof is downloaded.",1421691865465
error,log,,,"SOPC design not set.",1421691865465
error,log,,,"CPU module not set.",1421691865465
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1421691865465
error,log,,,"CPU architecture type not set. ",1421691865465
error,log,,,"CPU master group not set.",1421691865465
error,log,,,"No Nios II target connection paths were located. Check connections and that a Nios II .sof is downloaded.",1421691865465
error,log,,,"No Nios II byte stream devices connection paths were located. Check connections and that a Nios II .sof is downloaded.",1421691865465
started,bundle,com.altera.debug.cdi.gdb.plugin,10.1.0.153,"com.altera.debug.cdi.gdb.plugin",1421691865481
error,log,,,"No Nios II target connection paths were located. Check connections and that a Nios II .sof is downloaded.",1421691865559
error,log,,,"No Nios II byte stream devices connection paths were located. Check connections and that a Nios II .sof is downloaded.",1421691865559
error,log,,,"No Nios II target connection paths were located. Check connections and that a Nios II .sof is downloaded.",1421691865606
error,log,,,"No Nios II byte stream devices connection paths were located. Check connections and that a Nios II .sof is downloaded.",1421691865606
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1421691865621
error,log,,,"No Nios II target connection paths were located. Check connections and that a Nios II .sof is downloaded.",1421691866183
error,log,,,"No Nios II byte stream devices connection paths were located. Check connections and that a Nios II .sof is downloaded.",1421691866183
error,log,,,"No Nios II target connection paths were located. Check connections and that a Nios II .sof is downloaded.",1421691866198
