what,kind,bundleId,bundleVersion,description,time
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1421721247012
error,log,,,"CPU architecture type not set. ",1421721247012
error,log,,,"CPU master group not set.",1421721247012
activated,view,com.altera.sbtgui.launch,10.1.1.153,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1421721247106
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1421721250492
activated,view,com.altera.sbtgui.launch,10.1.1.153,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1421721256501
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1421721367962
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1421721369866
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1421721379319
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1421721381909
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1421721382907
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1421721396978
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1421721398117
error,log,,,"SOPC design not set.",1421721398179
error,log,,,"CPU module not set.",1421721398179
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1421721398179
error,log,,,"CPU architecture type not set. ",1421721398179
error,log,,,"CPU master group not set.",1421721398179
error,log,,,"SOPC design not set.",1421721398289
error,log,,,"CPU module not set.",1421721398289
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1421721398289
error,log,,,"CPU architecture type not set. ",1421721398289
error,log,,,"CPU master group not set.",1421721398289
activated,view,com.altera.sbtgui.launch,10.1.1.153,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1421721398382
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1421721401659
