what,kind,bundleId,bundleVersion,description,time
error,log,,,"CPU module not set.",1421286916160
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1421286916160
error,log,,,"CPU architecture type not set. ",1421286916160
error,log,,,"CPU master group not set.",1421286916160
error,log,,,"SOPC design not set.",1421286916285
error,log,,,"CPU module not set.",1421286916285
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1421286916285
error,log,,,"CPU architecture type not set. ",1421286916285
error,log,,,"CPU master group not set.",1421286916285
activated,view,com.altera.sbtgui.launch,10.1.1.153,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1421286916394
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1421286919609
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1421286922745
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1421286922838
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1421286923838
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.cut",1421286953749
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1421286955980
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1421286957805
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.buildAll",1421286959864
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1421286960161
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1421286963671
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1421286968119
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1421286969257
error,log,,,"SOPC design not set.",1421286969320
error,log,,,"CPU module not set.",1421286969320
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1421286969320
