what,kind,bundleId,bundleVersion,description,time
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1421797268668
java.vm.specification.version,sysinfo,,,"1.0",1421797268668
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1421797268668
java.vm.version,sysinfo,,,"14.0-b16",1421797268668
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1421797283710
started,bundle,com.altera.sbtgui.core,10.1.0.153,"com.altera.sbtgui.core",1421797283850
started,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1421797284022
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.buildProject",1421797285051
opened,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1421797285332
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1421797285332
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1421797286393
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1421797288468
opened,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1421797297484
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1421797297516
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring",1421797310151
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1421797310448
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1421797334362
executed,command,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.edit.text.rename.element",1421797334378
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1421797340478
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1421797345220
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1421797353519
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1421797360835
executed,command,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.edit.text.rename.element",1421797360835
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1421797403096
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1421797403439
